name,id,p_primaryCategory,p_subCategory1,p_subCategory2,p_subCategory3,p_subCategory4,p_brakeType,p_experience,p_price,p_suspension,p_group,p_productFamily,p_gender,p_driveTrain,brand,p_material,p_color,p_scene7_id,p_wheelSize,price,url
S-Works Tarmac Disc Frameset – Sagan Collection LTD,154554,Sale,Bikes,Road Bikes,Performance Road Bikes,Tarmac,Disc,Performance Road,$5000-$10000,Rigid,Framesets,Tarmac,Men|Women,2x,Road,Carbon,Dark Teal/Charcoal,70619-00_TAR_SL6-SW-DISC-FRMSET-SAGAN-COLL_DKTL-CHAR_HERO,700C,5250,https://www.specialized.com/us/en/s-works-tarmac-disc-frameset-sagan-collection-ltd/p/154554?color=263498-154554
Turbo Kenevo Comp,154378,Sale,Bikes,Sale,Bikes,"Turbo E-Bikes: Its You, Only Faster",Disc,Trail|Turbo Levo,$5000-$10000,Front & Rear,Bikes,Turbo Kenevo,Men|Women,1x,E-Bike|Mountain,Aluminum,Cast Battleship/Mojave,98019-50_KENEVO-FSR-COMP-6FATTIE-CSTBTLSHP-MJV_HERO,6Fattie,5750,https://www.specialized.com/us/en/turbo-kenevo-comp/p/154378?color=239451-154378
Turbo Vado 5.0,171132,Sale,Bikes,Active Bikes,Sale,Bikes,Disc,NA,$5000-$10000,Front,Bikes,Turbo Vado,Men,1x,E-Bike,Aluminum,Black / Black / Liquid Silver,95020-30_VADO-MEN-50-BLK-BLK-LQDSIL_HERO,700C,5150,https://www.specialized.com/us/en/turbo-vado-5-0/p/171132?color=264262-171132
Turbo Vado 5.0 Step-Through,170543,Sale,Bikes,Active Bikes,Sale,Bikes,Disc,NA,$5000-$10000,Front,Bikes,Turbo Vado,Women,1x,E-Bike,Aluminum,Black / Black / Liquid Silver,95020-32_VADO-WMN-50-BLK-BLK-LQDSIL_HERO,700C,5150,https://www.specialized.com/us/en/turbo-vado-5-0-step-through/p/170543?color=264268-170543
Womens Turbo Vado 6.0,154587,Sale,Bikes,Active Bikes,Sale,Bikes,Disc,Fitness|Turbo Levo|Urban,$5000-$10000,Front,Bikes,Turbo Vado,Women,1x,E-Bike|Fitness,Aluminum,Satin Flo Red / Blue Ghost Pearl,95019-23_VADO-WMN_6.0_FLORED-BLUGSTPRL_HERO,700C,5050,https://www.specialized.com/us/en/womens-turbo-vado-6-0/p/154587?color=227669-154587
Mens Turbo Vado 6.0,154578,Sale,Bikes,Active Bikes,Sale,Bikes,Disc,Fitness|Turbo Levo|Urban,$5000-$10000,Front,Bikes,Turbo Vado,Men,1x,E-Bike|Fitness,Aluminum,Flo Red W/Blue Ghost Pearl,95019-20_VADO_6.0_FLORED-BLUGSTPRL_HERO,700C,5050,https://www.specialized.com/us/en/mens-turbo-vado-6-0/p/154578?color=239447-154578
Mens Diverge Expert X1,154313,Sale,Bikes,Road Bikes,Adventure & Gravel Bikes,Diverge,Disc,Adventure|Performance Road,$2500-$5000|$5000-$10000,Front,Bikes,Diverge,Men,1x,Road,Carbon,Gloss Acid Pink/Acid Purple Fade/Black,95419-30_DIV_EXPERT-X1_ACDPNK-ACDPRP-BLK_HERO,700C,5000,https://www.specialized.com/us/en/mens-diverge-expert-x1/p/154313?color=227301-154313
Mens Stumpjumper ST Expert 27.5,154267,Sale,Bikes,Mountain Bikes,Trail Bikes,Stumpjumper,Disc,Trail,$5000-$10000,Front & Rear,Bikes,Stumpjumper ST,Men,1x,Mountain,Carbon,Satin / / Carbon / Black,93218-35_SJ-FSR-ST-MEN-EXPERT-CARBON-275-CKD-CARB-BLK_HERO,27.5,5000,https://www.specialized.com/us/en/mens-stumpjumper-st-expert-27-5/p/154267?color=261148-154267
Mens Stumpjumper ST Expert 29,154271,Sale,Bikes,Mountain Bikes,Trail Bikes,Stumpjumper,Disc,Trail,$2500-$5000|$5000-$10000,Front & Rear,Bikes,Stumpjumper ST,Men,1x,Mountain,Carbon,Satin / / Dusty Turquoise / Team Yellow,93218-37_SJ-FSR-ST-MEN-EXPERT-CARBON-29-CKD-CARB-BLK_HERO,29,5000,https://www.specialized.com/us/en/mens-stumpjumper-st-expert-29/p/154271?color=261176-154271
Mens Turbo Vado 5.0,154571,Sale,Bikes,Active Bikes,Sale,Bikes,Disc,Fitness|Turbo Levo|Urban,$5000-$10000,Front,Bikes,Turbo Vado,Men,1x,E-Bike|Fitness,Aluminum,Cast Battleship/Black/Chrome,95019-30_VADO_5.0_CSTBTLSHP-BLK-CHRM_HERO,700C,5000,https://www.specialized.com/us/en/mens-turbo-vado-5-0/p/154571?color=239559-154571
Womens Diverge Expert X1,161991,Sale,Bikes,Road Bikes,Adventure & Gravel Bikes,Diverge,Disc,Adventure|Performance Road,$2500-$5000|$5000-$10000,Front,Bikes,Diverge,Women,1x,Road,Carbon,White Sage/Dusty Turquoise/Black,95419-33_DIV-WMN_EXPERT-X1_WHTSGE-DSTTUR-BLK_HERO,700C,5000,https://www.specialized.com/us/en/womens-diverge-expert-x1/p/161991?color=250341-161991
Mens Stumpjumper Expert 29,154544,Sale,Bikes,Mountain Bikes,Trail Bikes,Stumpjumper,Disc,Trail,$2500-$5000|$5000-$10000,Front & Rear,Bikes,Stumpjumper,Men,1x,Mountain,Carbon,Satin / Rocket Red / Black,97518-32_SJ-FSR-MEN-EXPERT-CARBON-29-CKD-STRMGRY-RKTRED_HERO,29,5000,https://www.specialized.com/us/en/mens-stumpjumper-expert-29/p/154544?color=261172-154544
S-Works Shiv TT Module,154503,Sale,Bikes,S-Works Bikes,NA,NA,Rim,Performance Road,$2500-$5000|$5000-$10000,Rigid,Bikes,Shiv TT,Men|Women,2x,Road,Carbon,Satin Carbon/Gloss White,77418-02_SHIV-TT_SW-MODULE_CARB-METWHTSIL_HERO,700C,5000,https://www.specialized.com/us/en/s-works-shiv-tt-module/p/154503?color=239798-154503
Mens Stumpjumper Expert 27.5,154543,Sale,Bikes,Mountain Bikes,Trail Bikes,Stumpjumper,Disc,Trail,$2500-$5000|$5000-$10000,Front & Rear,Bikes,Stumpjumper,Men,1x,Mountain,Carbon,Gloss / Storm Grey / Rocket Red CKD,97518-30_SJ-FSR-MEN-EXPERT-CARBON-275-CKD-STRMGRY-RKTRED_HERO,27.5,5000,https://www.specialized.com/us/en/mens-stumpjumper-expert-27-5/p/154543?color=261146-154543
S-Works Roubaix Frameset - Sagan Collection,171048,Sale,Bikes,S-Works Bikes,NA,NA,Disc,Performance Road,$2500-$5000|$5000-$10000,Front,Framesets,Roubaix,Men|Women,2x,Road,Carbon,MIRROR,74420-02_ROUBAIX-SW-FRMSET-SAGAN-COLL-MIRROR_HERO,700C,5000,https://www.specialized.com/us/en/s-works-roubaix-frameset--sagan-collection/p/171048?color=263080-171048
Demo Expert 29,154300,Sale,Bikes,Mountain Bikes,Downhill Mountain Bikes,Demo,Disc,Downhill,$2500-$5000|$5000-$10000,Front & Rear,Bikes,Demo,Men|Women,1x,Mountain,Aluminum|Carbon,Gloss / Storm Grey / Rocket Red,94519-30_DEMO_EXPERT-29_STRMGRY-RKTRED_HERO,29,5000,https://www.specialized.com/us/en/demo-expert-29/p/154300?color=226110-154300
Enduro Pro 650b,128833,Sale,Bikes,Mountain Bikes,Trail Bikes,Enduro,Disc,Trail,NA,Front & Rear,Bikes,Enduro,Men,1x,Mountain,Carbon,Gloss Black/Cali Fade/Charcoal,93618-10_END-FSR_PRO-CARBON-27-5_BLK-CALFDE-CHAR_HERO,27.5,6500,https://www.specialized.com/us/en/enduro-pro-650b/p/128833?color=240133-128833
Mens Turbo Levo,154382,Sale,Bikes,Sale,Bikes,"Turbo E-Bikes: Its You, Only Faster",Disc,Trail|Turbo Levo,$2500-$5000,Front & Rear,Bikes,Turbo Levo FSR,Men,1x,E-Bike|Mountain,Aluminum,Black/Nice Blue,95219-70_LEVO-FSR_29_BLK-NICEBLU_HERO,29,4950,https://www.specialized.com/us/en/mens-turbo-levo/p/154382?color=239507-154382
Mens Tarmac Disc Expert,154558,Sale,Bikes,Road Bikes,Performance Road Bikes,Tarmac,Disc,Performance Road,$2500-$5000,Rigid,Bikes,Tarmac,Men,2x,Road,Carbon,Black/Nearly Black/Charcoal/Rocket Red/Camo,90618-35_TAR_SL6-EXPERT-DISC_BLK-NRBLK-CHAR_HERO,700C,4750,https://www.specialized.com/us/en/mens-tarmac-disc-expert/p/154558?color=227241-154558
Womens Tarmac Disc Expert,154568,Sale,Bikes,Road Bikes,Performance Road Bikes,Tarmac,Disc,Performance Road,$2500-$5000,Rigid,Bikes,Tarmac,Women,2x,Road,Carbon,Gloss Storm Grey/Ice Blue/Acid Lava,97218-31_TAR-WMN_SL6-EXPERT-DISC_STRMGRY-ICEBLU-ACDLAVA_HERO,700C,4750,https://www.specialized.com/us/en/womens-tarmac-disc-expert/p/154568?color=239234-154568
CruX Expert,154298,Sale,Bikes,Road Bikes,Cyclocross Bikes,CruX,Disc,Cyclocross,$2500-$5000,Rigid,Bikes,CruX,Men|Women,1x,Road,Carbon,Gloss Team Yellow/Rocket Red/Tarmac Black/Clean,91419-30_CRUX_EXPERT_TEAMYEL-RKTRED-TARBLK_HERO,700C,4700,https://www.specialized.com/us/en/crux-expert/p/154298?color=227240-154298
Mens Stumpjumper ST Comp Carbon 27.5 – 12-speed,157621,Sale,Bikes,Mountain Bikes,Trail Bikes,Stumpjumper,Disc,Trail,$2500-$5000,Front & Rear,Bikes,Stumpjumper ST,Men,1x,Mountain,Carbon,Satin / Oak / East Sierras,93219-52_SJ-FSR-ST_COMP-CARBON-27.5-12-SPD_BLUTNT-WHT_HERO,27.5,4520,https://www.specialized.com/us/en/mens-stumpjumper-st-comp-carbon-27-5-12-speed/p/157621?color=236441-157621
Womens Stumpjumper ST Comp Carbon 29 – 12-speed,157622,Sale,Bikes,Mountain Bikes,Trail Bikes,Stumpjumper,Disc,Trail,$2500-$5000,Front & Rear,Bikes,Stumpjumper ST,Women,1x,Mountain,Carbon,Satin Carbon / Acid Lava,95319-52_SJ-FSR-ST-WMN_COMP-CARBON-29-12-SPD_CARB-ACDLAVA_HERO,29,4520,https://www.specialized.com/us/en/womens-stumpjumper-st-comp-carbon-29-12-speed/p/157622?color=236443-157622
Mens Stumpjumper Comp Carbon 29 – 12-speed,157618,Sale,Bikes,Mountain Bikes,Trail Bikes,Stumpjumper,Disc,Trail,$2500-$5000,Front & Rear,Bikes,Stumpjumper,Men,1x,Mountain,Carbon,Gloss Chameleon / Hyper,93319-58_SJ-FSR_COMP-CARBON-29-12-SPD_CMLN-HYP_HERO,29,4520,https://www.specialized.com/us/en/mens-stumpjumper-comp-carbon-29-12-speed/p/157618?color=236401-157618
Womens Stumpjumper Comp Carbon 27.5—12-speed,157625,Sale,Bikes,Mountain Bikes,Trail Bikes,Stumpjumper,Disc,Trail,$2500-$5000,Front & Rear,Bikes,Stumpjumper,Women,1x,Mountain,Carbon,SATIN / ACID LAVA / ACID PINK / BLACK,96319-53_SJ-FSR-WMN_COMP-CARBON-27.5-12-SPD_ACDLAVA-ACDPNK-BLK_HERO,27.5,4520,https://www.specialized.com/us/en/womens-stumpjumper-comp-carbon-27-512-speed/p/157625?color=236453-157625
Mens Stumpjumper ST Comp Carbon 29 – 12-speed,157620,Sale,Bikes,Mountain Bikes,Trail Bikes,Stumpjumper,Disc,Trail,$2500-$5000,Front & Rear,Bikes,Stumpjumper ST,Men,1x,Mountain,Carbon,Satin / Oak / East Sierras,93219-55_SJ-FSR-ST_COMP-CARBON-29-12-SPD_BLUTNT-WHT_HERO,29,4520,https://www.specialized.com/us/en/mens-stumpjumper-st-comp-carbon-29-12-speed/p/157620?color=236442-157620
Mens Stumpjumper Comp Carbon 27.5—12-speed,157619,Sale,Bikes,Mountain Bikes,Trail Bikes,Stumpjumper,Disc,Trail,$2500-$5000,Front & Rear,Bikes,Stumpjumper,Men,1x,Mountain,Carbon,Gloss Chameleon / Hyper,93319-55_SJ-FSR_COMP-CARBON-27.5-12-SPD_CMLN-HYP_HERO,27.5,4520,https://www.specialized.com/us/en/mens-stumpjumper-comp-carbon-27-512-speed/p/157619?color=236398-157619
S-Works Shiv Module,155023,Sale,Bikes,Road Bikes,Triathlon Bikes,Shiv,Rim,Performance Road|Triathlon,$2500-$5000,Rigid,Bikes,Shiv,Men|Women,2x,Road,Carbon,Chameleon/Tarmac Black/Metallic White Silver,77418-01_SHIV_SW-MODULE_CMLN-TARBLK-METWHTSIL_HERO,700C,4500,https://www.specialized.com/us/en/s-works-shiv-module/p/155023?color=237393-155023
S-Works Tarmac Disc Frameset,154626,Sale,Bikes,Road Bikes,Performance Road Bikes,Tarmac,Disc,Performance Road,$2500-$5000,Rigid,Framesets,Tarmac,Men|Women,2x,Road,Carbon,Gloss Flo Red/Bright Yellow,77018-02_SW-TARMAC-MEN-SL6-DISC-FRMSET-ACDMNT-MNT-LTTUR_HERO,700C,4500,https://www.specialized.com/us/en/s-works-tarmac-disc-frameset/p/154626?color=227265-154626
S-Works Roubaix Frameset,170278,Sale,Bikes,Road Bikes,Performance Road Bikes,Roubaix,Disc,Performance Road,$2500-$5000,Front,Framesets,Roubaix,Men,2x,Road,Carbon,Gloss/Satin - Dove Gray/Rocket Red/Back,74420-00_ROUBAIX-SW-FRMSET-DOVGRY-RKTRED-BLK_HERO,NA,4500,https://www.specialized.com/us/en/s-works-roubaix-frameset/p/170278?color=260620-170278
Enduro Coil 29/6Fattie,133842,Sale,Bikes,Mountain Bikes,Trail Bikes,Enduro,Disc,Trail,$5000-$10000,Front & Rear,Bikes,Enduro,Men,1x,Mountain,Carbon,Satin Gloss Tarmac Black/Tarmac Black/Gold,93618-20_END-FSR_COIL-CARBON-29-6FATTIE_TARBLK-TARBLK-GLD_HERO,29,5800,https://www.specialized.com/us/en/enduro-coil-29-6fattie/p/133842?color=240153-133842
Enduro Elite 27.5,154322,Sale,Bikes,Mountain Bikes,Trail Bikes,Enduro,Disc,Trail,$2500-$5000,Front & Rear,Bikes,Enduro,Men|Women,1x,Mountain,Carbon,Satin Gloss Carbon/Charcoal,93619-41_END_ELITE-CARBON-27.5_WHTMTN-NICEBLU_HERO,27.5,4820,https://www.specialized.com/us/en/enduro-elite-27-5/p/154322?color=227129-154322
Enduro Elite 29,154325,Sale,Bikes,Mountain Bikes,Trail Bikes,Enduro,Disc,Trail,$2500-$5000,Front & Rear,Bikes,Enduro,Men|Women,1x,Mountain,Carbon,Satin Gloss Carbon/Charcoal,93619-43_END_ELITE-CARBON-296FATTIE_WHTMTN-NICEBLU_HERO,29|6Fattie,4820,https://www.specialized.com/us/en/enduro-elite-29/p/154325?color=227121-154325
Roubaix Comp – Shimano Ultegra Di2,170243,Sale,Bikes,Road Bikes,Performance Road Bikes,Roubaix,Disc,Performance Road,$2500-$5000,Front,Bikes,Roubaix,Men,2x|Electronic,Road,Carbon,Gloss UV Lilac/Black,94420-55_ROUBAIX-COMP-UDI2-HYP-CHAR_HERO,NA,4400,https://www.specialized.com/us/en/roubaix-comp--shimano-ultegra-di2/p/170243?color=263103-170243
Epic Hardtail Expert,154337,Sale,Bikes,Mountain Bikes,Cross Country Mountain Bikes,Epic Hardtail,Disc,Cross Country,$2500-$5000,Front,Bikes,Epic Hardtail,Men,1x,Mountain,Carbon,Gloss Storm Grey/Rocket Red,91319-31_EPIC-HT_EXPERT-CARBON-29_STRMGRY-RKTRED_HERO,29,4320,https://www.specialized.com/us/en/epic-hardtail-expert/p/154337?color=237767-154337
Womens Stumpjumper Comp Carbon 27.5,154902,Sale,Bikes,Mountain Bikes,Trail Bikes,Stumpjumper,Disc,Trail,$2500-$5000,Front & Rear,Bikes,Stumpjumper,Women,1x,Mountain,Carbon,Gloss/Carbon/Acid Purple/Acid Lava,96318-54_SJ-FSR-WMN-COMP-CARBON-275-CARB-ACDPRP-ACDLAVA_HERO,27.5,4220,https://www.specialized.com/us/en/womens-stumpjumper-comp-carbon-27-5/p/154902?color=226116-154902
Mens Epic Comp Carbon,154345,Sale,Bikes,Mountain Bikes,Cross Country Mountain Bikes,Epic,Disc,Cross Country,$2500-$5000,Front & Rear,Bikes,Epic,Men,1x,Mountain,Carbon,Gloss Blue Tint Carbon/Ion,90319-52_EPIC_COMP-CARBON-29_BLUTNT-ION_HERO,29,4220,https://www.specialized.com/us/en/mens-epic-comp-carbon/p/154345?color=239075-154345
Womens Epic Comp Carbon,154352,Sale,Bikes,Mountain Bikes,Cross Country Mountain Bikes,Epic,Disc,Cross Country,$2500-$5000,Front & Rear,Bikes,Epic,Women,1x,Mountain,Carbon,Gloss Satin Purple Tint/Red Tint/Acid Lava,93019-52_EPIC-WMN_COMP-CARBON-29_PRPTNT-REDTNT-ACDLAVA_HERO,29,4220,https://www.specialized.com/us/en/womens-epic-comp-carbon/p/154352?color=239081-154352
Roubaix Comp–Ultegra Di2,154472,Sale,Bikes,Road Bikes,Performance Road Bikes,Roubaix,Disc,Performance Road,$2500-$5000,Front,Bikes,Roubaix,Men,2x|Electronic,Road,Carbon,Gloss Storm Grey/Rocket Red/Clean,94419-55_RBX_COMP-UDI2_STRMGRY-RKTRED_HERO,700C,4200,https://www.specialized.com/us/en/roubaix-compultegra-di2/p/154472?color=227321-154472
Turbo Como 5.0 650b - Low-Entry,170296,Sale,Bikes,Active Bikes,Sale,Bikes,Disc,NA,$2500-$5000,Rigid,Bikes,Turbo Como,Women,1x,E-Bike,Aluminum,Navy / Black / White Mountains,90420-31_COMO-50-LOW-ENTRY-650B-NVY-BLK-WHTMTN_HERO,NA,4150,https://www.specialized.com/us/en/turbo-como-5-0-650b--low-entry/p/170296?color=264303-170296
Turbo Como 5.0 650b,170297,Sale,Bikes,Active Bikes,Sale,Bikes,Disc,NA,$2500-$5000,Rigid,Bikes,Turbo Como,Men,1x,E-Bike,Aluminum,Navy / Black / White Mountains,90420-30_COMO-50-650B-NVY-BLK-WHTMTN_HERO,NA,4150,https://www.specialized.com/us/en/turbo-como-5-0-650b/p/170297?color=264304-170297
Turbo Como 5.0 650b,159195,Sale,Bikes,Active Bikes,Sale,Bikes,Disc,Turbo Levo|Urban,$2500-$5000,Front,Bikes,Turbo Como,Men,1x,E-Bike|Fitness,Aluminum,Cast Battleship/Black/Kool Silver,90419-30_COMO_5.0-650B_CSTBTLSHP-BLK-KLSIL_HERO,700C,4050,https://www.specialized.com/us/en/turbo-como-5-0-650b/p/159195?color=260761-159195
S-Works Demo 8 Frame,129069,Sale,Bikes,Mountain Bikes,Downhill Mountain Bikes,Demo,Disc,Downhill,$2500-$5000,Front & Rear,Framesets,Demo,Men,1x,Mountain,Carbon,Gloss Red Tint Carbon/Red Flake/Flake Silver,74518-00_DEMO-8-FSR_SW-CARBON-650B-FRM_REDTNT-REDFLKTNT-FLKSIL_HERO,27.5,4000,https://www.specialized.com/us/en/s-works-demo-8-frame/p/129069?color=239831-129069
S-Works Roubaix Frameset,154475,Sale,Bikes,Road Bikes,Performance Road Bikes,Roubaix,Disc,Performance Road,$2500-$5000,Front,Framesets,Roubaix,Men,2x,Road,Carbon,Satin Black/Gloss Black/Clean,74419-00_RBX_SW-FRMSET_ACDMNT-BLK_HERO,700C,4000,https://www.specialized.com/us/en/s-works-roubaix-frameset/p/154475?color=227335-154475
S-Works Diverge Frameset,154310,Sale,Bikes,S-Works Bikes,NA,NA,Disc,Adventure|Performance Road,$2500-$5000,Front,Framesets,Diverge,Men|Women,1x|2x,Road,Carbon,Satin Cool Grey Camo,75419-03_DIV_SW-FRMSET_CARB-BLK_HERO,700C,4000,https://www.specialized.com/us/en/s-works-diverge-frameset/p/154310?color=240053-154310
Mens Tarmac Disc Comp – Sagan Collection LTD,157874,Sale,Bikes,Road Bikes,Performance Road Bikes,Tarmac,Disc,Performance Road,$2500-$5000,Rigid,Bikes,Tarmac,Men,2x,Road,Carbon,Dark Teal/Charcoal,90619-55_TAR_SL6-COMP-DISC-SAGAN-COLL_DKTL-CHAR_HERO,700C,4000,https://www.specialized.com/us/en/mens-tarmac-disc-comp-sagan-collection-ltd/p/157874?color=239243-157874
S-Works Tarmac Frameset,154660,Sale,Bikes,Road Bikes,Performance Road Bikes,Tarmac,Rim,Performance Road,$2500-$5000,Rigid,Framesets,Tarmac,Men|Women,2x,Road,Carbon,Gloss Chameleon/Cyan Blue,70619-01_TAR_SL6-SW-FRMSET_ACDPNK-ACDPRP-TEAMYEL_HERO,700C,4000,https://www.specialized.com/us/en/s-works-tarmac-frameset/p/154660?color=227232-154660
S-Works Epic Frame – LTD,154351,Sale,Bikes,Mountain Bikes,Cross Country Mountain Bikes,Epic,Disc,Cross Country,$2500-$5000,Front & Rear,Framesets,Epic,Men,1x,Mountain,Carbon,Gloss Teal Tint/Red Flake Tint/Cosmic Black,70319-04_EPIC_SW-CARBON-LTD-FRM-29_TLTNT-REDFLKTNT-CSMBLK_HERO,29,4000,https://www.specialized.com/us/en/s-works-epic-frame-ltd/p/154351?color=239065-154351
Ruby Comp – Ultegra Di2,154488,Sale,Bikes,Road Bikes,Performance Road Bikes,Ruby,Disc,Performance Road,$2500-$5000,Front,Bikes,Ruby,Women,2x|Electronic,Road,Carbon,Gloss Satin/Purple Tint-Red Tint Fade/Acid Lava/Black,90219-54_RUBY_COMP-UDI2_PRPTNT-REDTNT-ACDLAVA_HERO,700C,4200,https://www.specialized.com/us/en/ruby-comp-ultegra-di2/p/154488?color=239553-154488
Womens Diverge Comp,154315,Sale,Bikes,Road Bikes,Adventure & Gravel Bikes,Diverge,Disc,Adventure|Performance Road,$2500-$5000,Front,Bikes,Diverge,Women,2x,Road,Carbon,Gloss Chameleon Blue Green Flake/Acid Kiwi/Dream Silver,95419-56_DIV-WMN_COMP_CMLNBGFLK-ACDKWI-DRMSIL_HERO,700C,3750,https://www.specialized.com/us/en/womens-diverge-comp/p/154315?color=239527-154315
S-Works Epic Frameset,154348,Sale,Bikes,Mountain Bikes,Cross Country Mountain Bikes,Epic,Disc,Cross Country,$2500-$5000,Front & Rear,Framesets,Epic,Men,1x,Mountain,Carbon,Gloss Oil Slick/Mint,70319-01_EPIC_SW-CARBON-FRM-29_CARB-WHT_HERO,29,3750,https://www.specialized.com/us/en/s-works-epic-frameset/p/154348?color=239060-154348
Mens Diverge Comp,154306,Sale,Bikes,Road Bikes,Adventure & Gravel Bikes,Diverge,Disc,Adventure|Performance Road,$2500-$5000,Front,Bikes,Diverge,Men,2x,Road,Carbon,Satin Brown Tint/Black/Copper,95419-52_DIV_COMP_BRNTNT-BLK-COP_HERO,700C,3750,https://www.specialized.com/us/en/mens-diverge-comp/p/154306?color=227302-154306
Mens Stumpjumper EVO Comp Alloy 29,159451,Sale,Bikes,Mountain Bikes,Trail Bikes,Stumpjumper,Disc,Trail,$2500-$5000,Front & Rear,Bikes,Stumpjumper Evo,Men,1x,Mountain,Aluminum,Satin Black/Storm Grey,97519-53_SJ-FSR_COMP-ALLOY-EVO-29_BLK-STRMGRY_HERO,29,3620,https://www.specialized.com/us/en/mens-stumpjumper-evo-comp-alloy-29/p/159451?color=260081-159451
Mens Stumpjumper EVO Comp Alloy 27.5,159452,Sale,Bikes,Mountain Bikes,Trail Bikes,Stumpjumper,Disc,Trail,$2500-$5000,Front & Rear,Bikes,Stumpjumper Evo,Men,1x,Mountain,Aluminum,Satin Brushed/Black,97519-50_SJ-FSR_COMP-ALLOY-EVO-27.5_BRSH-BLK_HERO,27.5,3620,https://www.specialized.com/us/en/mens-stumpjumper-evo-comp-alloy-27-5/p/159452?color=254573-159452
Roubaix Expert,133928,Sale,Bikes,Road Bikes,Performance Road Bikes,Roubaix,Disc,Performance Road,$2500-$5000,Front,Bikes,Roubaix,Men,2x,Road,Carbon,Gloss Carbon/Chameleon Purple/Metallic White Silver,94418-30_RBX_EXPERT_CARB-CMLN-METWHTSIL_HERO,NA,3600,https://www.specialized.com/us/en/roubaix-expert/p/133928?color=240097-133928
Roubaix Comp,170244,Sale,Bikes,Road Bikes,Performance Road Bikes,Roubaix,Disc,Performance Road,$2500-$5000,Front,Bikes,Roubaix,Men,2x,Road,Carbon,Satin Carbon/Black,94420-52_ROUBAIX-COMP-BLUCRYFLK-BLK_HERO,NA,3600,https://www.specialized.com/us/en/roubaix-comp/p/170244?color=263087-170244
Turbo Vado 4.0 Step-Through,170312,Sale,Bikes,Active Bikes,Sale,Bikes,Disc,NA,$2500-$5000,Front,Bikes,Turbo Vado,Women,1x,E-Bike,Aluminum,Dove Grey / Black / Liquid Silver,95020-50_VADO-WMN-40-DOVGRY-BLK-LQDSIL_HERO,700C,3550,https://www.specialized.com/us/en/turbo-vado-4-0-step-through/p/170312?color=264270-170312
Turbo Vado 4.0,170303,Sale,Bikes,Active Bikes,Sale,Bikes,Disc,NA,$2500-$5000,Front,Bikes,Turbo Vado,Men,1x,E-Bike,Aluminum,Dove Grey / Black / Liquid Silver,95020-58_VADO-40-CARB-BLK-LQDSIL_HERO,700C,3550,https://www.specialized.com/us/en/turbo-vado-4-0/p/170303?color=273963-170303
Womens Tarmac Disc Comp,154570,Sale,Bikes,Road Bikes,Performance Road Bikes,Tarmac,Disc,Performance Road,$2500-$5000,Rigid,Bikes,Tarmac,Women,2x,Road,Carbon,Gloss Acid Lava - Acid Pink/Satin Black,97219-53_TAR-WMN_SL6-COMP-DISC_ACDLAVA-ACDPNK-BLK_HERO,700C,3500,https://www.specialized.com/us/en/womens-tarmac-disc-comp/p/154570?color=237262-154570
Mens Tarmac Disc Comp,154557,Sale,Bikes,Road Bikes,Performance Road Bikes,Tarmac,Disc,Performance Road,$2500-$5000,Rigid,Bikes,Tarmac,Men,2x,Road,Carbon,Satin Black/Black Reflective/Clean,90619-53_TAR_SL6-COMP-DISC_CSMMNT-OIL-CMLN_HERO,700C,3500,https://www.specialized.com/us/en/mens-tarmac-disc-comp/p/154557?color=227242-154557
Womens Turbo Vado 3.0,154585,Sale,Bikes,Active Bikes,Sale,Bikes,Disc,Fitness|Turbo Levo|Urban,$2500-$5000,Front,Bikes,Turbo Vado,Women,1x,E-Bike|Fitness,Aluminum,Uv Lilac / Black,95019-72_VADO-WMN_3.0_STRMGRY-BLK-CHRM_HERO,700C,3450,https://www.specialized.com/us/en/womens-turbo-vado-3-0/p/154585?color=239460-154585
Turbo Vado 3.0 Step-Through,171134,Sale,Bikes,Active Bikes,Sale,Bikes,Disc,NA,$2500-$5000,Front,Bikes,Turbo Vado,Women,1x,E-Bike,Aluminum,Storm Grey / Black / Liquid Silver,95020-75_VADO-WMN-30-STRMGRY-BLK-LQDSIL_HERO,700C,3450,https://www.specialized.com/us/en/turbo-vado-3-0-step-through/p/171134?color=264274-171134
Mens Turbo Vado 3.0,154579,Sale,Bikes,Active Bikes,Sale,Bikes,Disc,Fitness|Turbo Levo|Urban,$2500-$5000,Front,Bikes,Turbo Vado,Men,1x,E-Bike|Fitness,Aluminum,Dream Black / Black / Rocket Red,95017-70_VADO_3.0_DRMBLK-BLK-RKTRED_HERO,700C,3450,https://www.specialized.com/us/en/mens-turbo-vado-3-0/p/154579?color=227693-154579
Enduro Elite 29/6Fattie,128993,Sale,Bikes,Mountain Bikes,Trail Bikes,Enduro,Disc,Trail,$2500-$5000,Front & Rear,Bikes,Enduro,Men,1x,Mountain,Carbon,Satin Black/White,93618-43_END-FSR_ELITE-CARBON-29-6FATTIE_BLK-WHT_HERO,29,4500,https://www.specialized.com/us/en/enduro-elite-29-6fattie/p/128993?color=240145-128993
Roubaix Comp,129154,Sale,Bikes,Road Bikes,Performance Road Bikes,Roubaix,Disc,Performance Road,$2500-$5000,Front,Bikes,Roubaix,Men,2x,Road,Carbon,Gloss Sunset Chameleon/Tarmac Black Edge Fade/Rocket Red Clean,94418-50_RBX_COMP_CMLN-TARBLK-RKTRED_HERO,NA,3400,https://www.specialized.com/us/en/roubaix-comp/p/129154?color=240093-129154
